,Nº En Ranking,Symbolo,Nombre,Link Info,EPS,PER,Dividends,Año fundado
2,3,AMR,"Alpha Metallurgical Resources, Inc.",https://stockanalysis.com/stocks/amr/,50.0,6.95,$2.00 (0.59%),2016.0
108,109,DAC,Danaos Corporation,https://stockanalysis.com/stocks/dac/,28.79,2.55,$3.20 (4.35%),2006.0
105,106,MPC,Marathon Petroleum Corporation,https://stockanalysis.com/stocks/mpc/,26.77,5.56,$3.30 (2.23%),2011.0
418,419,AMP,"Ameriprise Financial, Inc.",https://stockanalysis.com/stocks/amp/,24.63,15.44,$5.40 (1.42%),2005.0
100,81,UAN,"CVR Partners, LP",https://stockanalysis.com/stocks/uan/,24.38,2.73,$26.62 (40.67%),2011.0
64,65,CHRD,Chord Energy Corporation,https://stockanalysis.com/stocks/chrd/,22.16,7.53,$1.25 (0.75%),2010.0
23,24,PBF,PBF Energy Inc.,https://stockanalysis.com/stocks/pbf/,21.66,2.05,$1.00 (2.27%),2012.0
7,8,CEIX,CONSOL Energy Inc.,https://stockanalysis.com/stocks/ceix/,19.99,5.07,$2.20 (2.19%),2017.0
133,134,FANG,"Diamondback Energy, Inc.",https://stockanalysis.com/stocks/fang/,17.62,8.82,$0.84 (0.54%),2012.0
446,447,PSX,Phillips 66,https://stockanalysis.com/stocks/psx/,16.57,8.05,$4.20 (3.16%),2012.0
